"dataset","source_id","trait","ancestry","genome_build","tier","p_threshold","candidate_snps","strong_snps","mapped_snps","post_clump_snps","min_f","mean_f","exclusion_reason"
"microbiome_2026","GCST90670374","Gut microbiome species abundance (Bifidobacterium adolescentis, GCF_000010425.1)","EUR","GRCh37","primary",5e-08,163,163,163,1,68.4380165289256,68.4380165289256,""
"microbiome_2026","GCST90670374","Gut microbiome species abundance (Bifidobacterium adolescentis, GCF_000010425.1)","EUR","GRCh37","exploratory",1e-05,397,397,396,19,19.6493863618701,23.3213370943735,""
"microbiome_2026","GCST90670375","Gut microbiome species abundance (Ruminococcus E bromii B, GCF_002834235.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670375","Gut microbiome species abundance (Ruminococcus E bromii B, GCF_002834235.1)","EUR","GRCh37","exploratory",1e-05,98,98,97,12,19.5209414622157,21.5640622263186,""
"microbiome_2026","GCST90670376","Gut microbiome species abundance (Agathobacter faecis, GCF_001406815.1)","EUR","GRCh37","primary",5e-08,1,1,1,1,29.8075305736661,29.8075305736661,""
"microbiome_2026","GCST90670376","Gut microbiome species abundance (Agathobacter faecis, GCF_001406815.1)","EUR","GRCh37","exploratory",1e-05,108,108,108,18,19.5725172007346,21.7350630247485,""
"microbiome_2026","GCST90670377","Gut microbiome species abundance (Anaerostipes hadrus, GCF_000332875.2)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670377","Gut microbiome species abundance (Anaerostipes hadrus, GCF_000332875.2)","EUR","GRCh37","exploratory",1e-05,140,140,139,19,19.5069444444444,21.4879425976428,""
"microbiome_2026","GCST90670378","Gut microbiome species abundance (Lachnospira eligens A, GCF_009680455.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670378","Gut microbiome species abundance (Lachnospira eligens A, GCF_009680455.1)","EUR","GRCh37","exploratory",1e-05,94,94,91,16,19.5842922987699,21.8849790851226,""
"microbiome_2026","GCST90670379","Gut microbiome species abundance (UBA11524 sp000437595, GCA_000437595.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670379","Gut microbiome species abundance (UBA11524 sp000437595, GCA_000437595.1)","EUR","GRCh37","exploratory",1e-05,44,44,43,15,19.642624,21.4391612061065,""
"microbiome_2026","GCST90670380","Gut microbiome species abundance (Ruminococcus D bicirculans, GCF_000723465.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670380","Gut microbiome species abundance (Ruminococcus D bicirculans, GCF_000723465.1)","EUR","GRCh37","exploratory",1e-05,111,111,111,14,19.7451222684704,22.1881124371435,""
"microbiome_2026","GCST90670381","Gut microbiome species abundance (Fusicatenibacter saccharivorans, GCF_015557635.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670381","Gut microbiome species abundance (Fusicatenibacter saccharivorans, GCF_015557635.1)","EUR","GRCh37","exploratory",1e-05,41,41,39,17,19.5156055363322,20.8769307613365,""
